문장,clean
일안하는 시간은 쉬고싶어서 그런게 아닐까,1
"루나 솔로앨범 나왔을 때부터 머모 기운 있었음 ㅇㅇ Keep o  doin 진짜 띵곡임 꼭 들어보셈""",1
홍팍에도 어버이연합인가 보내요 뭐 이런뎃글 있는데 이거 어버이연합측에 신고하면 그쪽에서 고소 가능하냐?,1
고향가서 피방가면 동네 부럴 친구들이랑은 뭐 거르는 거 없이 이야기하니까 막 말하게 되더라 당연히 키보드를 치거나 그러지는 않는데 말하는게 많이 거칠어지긴 해 반성해야겠네,1
재능 ㅂㅅㅌㅊ노 ㅋㅋㅋㅋㅋ나도 합성배우고싶다이기,1
아 어린이집에 월요일에 데려다주고 금요일에 데리고 왔단다...... 아 가슴이 너무 아프다......고작 3살 아가가 얼마나 외로웠을까.....아~~~~~~~~~~~~~~~!!!!!!!!!!!!!!,1
AICPA 따고 넘어갔나보네,1
"원 리더십, 원 메시지로 내부 결속을 더 강화하고 외부로 리마커블(remarkable)한 이미지를 구축하여 다시 교회로 모일수 있기를 소망하고 기도합니다",1
협박스킬은 패시브랑께,1
메틸 알콜 집에서 쓰고 있다. 질문 받는다. 99프로 에틸에 1프로 메틸 들어간다. 공업용 에틸 알콜은 면세라 불법적으로 술제조 때문에 1프로 정도 메틸이 들어가면서 제조방지용으로 쓴다..,1
CNN 구구절절 팩트,1
안희 정민아 왜 저깄노 ㅋㅋㅋㅋ,1
진씨는 왜 반말이야 ?,1
사망이후 조사받기 전까지 이 분 통화내역 확인 필요,1
오세라비님은 페미니스트 아닙니다만 ^^;;,1
뉴스 보니까 길이 낯설지 않더라.,1
애들 먹이게 돈가스 좀 달라는건 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋ아니 애들 먹는 돈가스는 어디 하늘에서 뚝 떨어지냐 양심도 없노 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
맞노.저멘트로 타격느끼는건 개념려둘뿐이다 ㅋㅋㅋㅋㅋ,1
마포가 뭘뜻하는거냐?,1
존나 무섭네,1
지금 이미 난리남,1
거식증때문에 168cm 49kg된적있노 학식련인데 언덕위에 있는 도서관만 가도 헉헉대고 눈앞이까매지고 세미시체였다이기.. 이제 다시 쪘더니 낮잠도 별로 필요없고 체력이 늘어난기분이노,1
소고기 짬뽕 존나먹어보고싶다,1
민아 귀엽네,1
유민관인가 누구 개그맨 닮지 않았음?,1
이상준 황비홍댓냐,1
그림체는 귀엽긴하지만 현실은 그렇치않아,1
출발한다 이기야!,1
저런것들은 설명해줘도 모른다,1
우리에게는 유모차 부대가 있는데?,1
"그렇게 좋으면 따라가야제,,,^^",1
